option,part_name,question,section
"[[""Less than  week"",1],[""1 week - 2 week"",2],[""2 week - 4 week"",3],[""1 to 3 Month"",4]]",Shoulder,Do you have pain in shoulder ?,PainScale
"[[""Yes"",4],[""No"",0]]",Shoulder,Do you have any swelling ?,General
"[[""Less than 6 hours"",1],[""6-8 hours"",2],[""8-10 hours"",3],[""More than 10 hours"",4]]",Shoulder,How long do you sit in particular position ?,General
"[["""",1],["""",2],["""",3],["""",4]]",Shoulder,What is your general posture while working on laptop?,General
"[[""Upto 30째"",1],[""Upto 90째"",2],[""Upto 120째 (End range restriction/difficulty)"",3],[""Completely 180째"",4]]",Shoulder,Do you feel difficulty in lifting arm sidways?,General
"[[""Sleeping on arm"",1],[""Tucking shirt in"",2],[""Combing hairs"",3],[""Lifting arm"",4]]",Shoulder,Do you feel pain in any one of these?,PainScale
"[[""Recent activity"",2],[""Injury"",2],[""Operation"",2],[""Other"",2]]",Shoulder,Do you Know reason for pain?,PainScale
"[[""Daily work"",1],[""Morning stifness"",2],[""After lifting arm"",3],[""constant"",4]]",Shoulder,When does the Pain aggravate?,PainScale
"[[""Rest"",1],[""Self Management"",2],[""Medicine"",3],[""Remains same"",4]]",Shoulder,Pain relieves with,PainScale
"[[""Neck"",1],[""Elbow"",2],[""Upper back"",3],[""Wrist"",4]]",Shoulder,Does the pain radiates forward,PainScale
"[[""YES"",0],[""NO"",4]]",Shoulder,Are you able to Comb your hairs easily?,General
"[[""Yes"",10],[""No"",10]]",Shoulder,Do you agree with the terms and conditions ?,Consent
"[[""Pain Scale"",0],[""Pain Scale"",1],[""Pain Scale"",2],[""Pain Scale"",3],[""Pain Scale"",4]]",Shoulder,Please select the scale of pain,PainScale
"[[""Capture"",10],[""Skip"",10]]",Shoulder,Please stand straight in front of the camera,PostureFlex
"[[""Capture"",10],[""Skip"",10]]",Shoulder,Please stand by facing your body towards the rights hand side,PostureFlex
"[[""Capture"",10],[""Skip"",10]]",Shoulder,"Please sit in position facing the camera, that you would usually do",PostureFlex
"[[""Capture"",10],[""Skip"",10]]",Shoulder,"Please sit in position that you would usually do, with your right side towards the camera",PostureFlex
"[[""Upto hip"",1],[""Upto lower back/buttocks"",2],[""Upto back"",3],[""Completely touching palms"",4]]",Shoulder,Are you able to touch both palms at your back?,General
"[[""YES"",4],[""NO"",1]]",Shoulder,Do you see your shoulders rounded? ,General
"[[""YES"",4],[""NO"",1]]",Shoulder,Do you see any hump at upper back?,General
"[[""Capture"",10],[""Skip"",10]]",Shoulder,Please follow the motion as described in the video,AromFlex
"[[""Capture"",10],[""Skip"",10]]",Shoulder,Please follow the motion as described in the video,AromFlex
"[[""Capture"",10],[""Skip"",10]]",Shoulder,Please follow the motion as described in the video,AromFlex